CP;Municipio;
04001;Abla;
04002;Abrucena;
04003;Adra;
04004;Albanchez;
04005;Alboloduy;
04006;Albox;
04007;Alcolea;
04008;Alcóntar;
04009;Alcudia de Monteagud;
04010;Alhabia;
04011;Alhama de Almería;
04012;Alicún;
04013;Almería;
04014;Almócita;
04015;Alsodux;
04016;Antas;
04017;Arboleas;
04018;Armuña de Almanzora;
04019;Bacares;
04904;Balanegra;
04020;Bayárcal;
04021;Bayarque;
04022;Bédar;
04023;Beires;
04024;Benahadux;
04026;Benitagla;
04027;Benizalón;
04028;Bentarique;
04029;Berja;
04030;Canjáyar;
04031;Cantoria;
04032;Carboneras;
04033;Castro de Filabres;
04036;Chercos;
04037;Chirivel;
04034;Cóbdar;
04035;Cuevas del Almanzora;
04038;Dalías;
04902;Ejido, El;
04041;Enix;
04043;Felix;
04044;Fines;
04045;Fiñana;
04046;Fondón;
04047;Gádor;
04048;Gallardos, Los;
04049;Garrucha;
04050;Gérgal;
04051;Huécija;
04052;Huércal de Almería;
04053;Huércal-Overa;
04054;Íllar;
04055;Instinción;
04056;Laroya;
04057;Láujar de Andarax;
04058;Líjar;
04059;Lubrín;
04060;Lucainena de las Torres;
04061;Lúcar;
04062;Macael;
04063;María;
04064;Mojácar;
04903;Mojonera, La;
04065;Nacimiento;
04066;Níjar;
04067;Ohanes;
04068;Olula de Castro;
04069;Olula del Río;
04070;Oria;
04071;Padules;
04072;Partaloa;
04073;Paterna del Río;
04074;Pechina;
04075;Pulpí;
04076;Purchena;
04077;Rágol;
04078;Rioja;
04079;Roquetas de Mar;
04080;Santa Cruz de Marchena;
04081;Santa Fe de Mondújar;
04082;Senés;
04083;Serón;
04084;Sierro;
04085;Somontín;
04086;Sorbas;
04087;Suflí;
04088;Tabernas;
04089;Taberno;
04090;Tahal;
04091;Terque;
04092;Tíjola;
04901;Tres Villas, Las;
04093;Turre;
04094;Turrillas;
04095;Uleila del Campo;
04096;Urrácal;
04097;Velefique;
04098;Vélez-Blanco;
04099;Vélez-Rubio;
04100;Vera;
04101;Viator;
04102;Vícar;
04103;Zurgena;
